1439,350,1510,377
1201,289,1264,308
727,162,833,182
1034,192,1139,212
833,161,886,180
1254,225,1313,244
513,358,589,378
827,193,957,215
378,107,415,124
1149,291,1199,308
1403,289,1480,309
194,107,288,130
893,161,1040,179
1305,287,1392,308
1004,226,1058,243
1096,160,1167,180
425,105,656,125
284,161,444,182
279,447,414,468
139,294,260,315
1014,290,1140,309
1101,225,1208,244
113,448,231,469
674,191,733,214
876,323,939,342
393,358,507,383
595,289,764,312
1336,192,1414,209
1410,189,1505,209
673,226,715,245
502,195,580,214
640,163,687,181
93,107,146,128
961,226,1002,246
1049,160,1095,179
511,326,575,345
1227,159,1324,178
448,165,495,183
440,292,509,311
343,392,397,413
820,293,858,311
628,325,721,344
449,444,609,469
775,226,822,245
1268,291,1302,308
1366,222,1498,242
546,389,714,409
710,325,800,343
1070,226,1100,243
718,225,768,248
592,359,632,377
193,393,229,411
1150,390,1190,406
1214,193,1279,211
1212,389,1272,406
132,165,244,184
196,326,270,345
232,450,273,468
1161,353,1335,376
584,195,677,217
480,228,544,249
305,230,338,247
550,162,636,182
143,392,185,412
250,291,433,312
940,355,1051,380
303,394,333,411
724,390,791,408
331,359,388,378
962,388,1034,411
154,110,182,129
797,443,873,465
1336,355,1395,375
234,392,295,411
132,197,254,217
274,325,416,345
824,358,893,376
834,391,894,408
445,197,492,215
971,292,1002,312
249,164,302,184
250,195,314,217
800,325,874,343
1039,391,1113,407
959,192,1032,212
515,295,550,312
558,294,596,312
345,228,450,248
200,360,290,380
913,290,966,310
831,226,872,244
784,194,823,212
462,326,504,344
414,326,458,344
401,392,500,411
1216,225,1244,243
318,197,401,216
1147,193,1211,211
903,390,955,413
693,163,727,181
635,356,801,377
297,108,359,126
140,327,192,346
134,229,227,248
1402,356,1436,374
503,164,549,182
579,327,614,344
507,394,551,410
136,262,224,281
1066,357,1154,375
299,361,326,380
1284,193,1346,211
266,231,299,248
1175,161,1220,179
771,291,814,311
223,231,259,248
793,391,830,409
144,359,195,381
1322,226,1352,243
1264,389,1340,406
738,194,787,213
617,445,793,466
866,293,914,311
586,228,630,247
910,223,960,244
549,229,582,248
399,199,440,215
875,226,912,244
630,228,666,246
900,357,937,377
419,452,448,468
1116,393,1141,407
